
Tue Jul 14 10:06:09 2020, board: 1, dev: 4, status: Off
Tue Jul 14 10:06:10 2020, board: 1, dev: 4, status: On
Tue Jul 14 10:06:10 2020, board: 1, dev: 4, status: Off
Tue Jul 14 10:06:11 2020, board: 1, dev: 2, status: Off
Tue Jul 14 10:06:11 2020, board: 1, dev: 2, status: On
Tue Jul 14 10:06:13 2020, board: 1, dev: 2, status: Off
Tue Jul 14 10:06:13 2020, board: 1, dev: 1, status: Off
Tue Jul 14 10:06:14 2020, board: 1, dev: 3, status: Off
Tue Jul 14 10:06:14 2020, board: 1, dev: 3, status: On
Tue Jul 14 10:06:15 2020, board: 1, dev: 3, status: Off
Tue Jul 14 10:06:15 2020, board: 1, dev: 3, status: On
Tue Jul 14 10:06:15 2020, board: 1, dev: 2, status: On
Tue Jul 14 10:06:16 2020, board: 1, dev: 4, status: On
Tue Jul 14 10:06:18 2020, board: 1, dev: 1, status: On
Tue Jul 14 10:06:18 2020, board: 1, dev: 1, status: Off
Tue Jul 14 10:06:19 2020, board: 1, dev: 3, status: Off
Tue Jul 14 10:06:20 2020, board: 1, dev: 4, status: Off
Tue Jul 14 10:06:20 2020, board: 1, dev: 2, status: Off
Tue Jul 14 10:06:21 2020, board: 1, dev: 4, status: On
Tue Jul 14 10:06:22 2020, board: 1, dev: 2, status: On
Tue Jul 14 10:06:22 2020, board: 1, dev: 3, status: On
Tue Jul 14 10:06:23 2020, board: 1, dev: 3, status: Off
Tue Jul 14 10:06:23 2020, board: 1, dev: 3, status: On
Tue Jul 14 10:06:24 2020, board: 1, dev: 3, status: Off
Tue Jul 14 10:06:24 2020, board: 1, dev: 2, status: Off
Tue Jul 14 10:06:25 2020, board: 1, dev: 3, status: On
Tue Jul 14 10:06:25 2020, board: 1, dev: 2, status: On
Tue Jul 14 10:06:26 2020, board: 1, dev: 2, status: Off
Tue Jul 14 10:06:27 2020, board: 1, dev: 3, status: Off
Tue Jul 14 10:06:27 2020, board: 1, dev: 4, status: Off
Tue Jul 14 10:06:28 2020, board: 1, dev: 3, status: On
Tue Jul 14 10:06:29 2020, board: 1, dev: 2, status: On
Tue Jul 14 10:06:29 2020, board: 1, dev: 4, status: On
Tue Jul 14 10:06:30 2020, board: 1, dev: 4, status: Off
Tue Jul 14 10:06:30 2020, board: 1, dev: 3, status: Off
Tue Jul 14 10:06:31 2020, board: 1, dev: 2, status: Off
Tue Jul 14 10:06:31 2020, board: 1, dev: 2, status: On
Tue Jul 14 10:06:31 2020, board: 1, dev: 3, status: On
Tue Jul 14 10:06:33 2020, board: 1, dev: 4, status: On
Tue Jul 14 10:06:33 2020, board: 1, dev: 3, status: Off
Tue Jul 14 10:06:33 2020, board: 1, dev: 3, status: On
Tue Jul 14 10:06:34 2020, board: 1, dev: 2, status: Off
Tue Jul 14 10:06:34 2020, board: 1, dev: 3, status: Off
Tue Jul 14 10:06:35 2020, board: 1, dev: 4, status: Off
Tue Jul 14 10:06:38 2020, board: 1, dev: 4, status: On
Tue Jul 14 10:06:39 2020, board: 1, dev: 2, status: On
Tue Jul 14 10:06:40 2020, board: 1, dev: 3, status: On
Tue Jul 14 10:06:40 2020, board: 1, dev: 3, status: Off
Tue Jul 14 10:06:40 2020, board: 1, dev: 2, status: Off
Tue Jul 14 10:06:41 2020, board: 1, dev: 3, status: On
Tue Jul 14 10:06:41 2020, board: 1, dev: 2, status: On
Tue Jul 14 10:06:42 2020, board: 1, dev: 2, status: Off
Tue Jul 14 10:06:42 2020, board: 1, dev: 3, status: Off
Tue Jul 14 10:06:44 2020, board: 1, dev: 4, status: Off
Tue Jul 14 10:06:44 2020, board: 1, dev: 3, status: On
Tue Jul 14 10:06:44 2020, board: 1, dev: 2, status: On
Tue Jul 14 10:06:44 2020, board: 1, dev: 4, status: On
Tue Jul 14 10:06:48 2020, board: 1, dev: 4, status: Off
Tue Jul 14 10:06:49 2020, board: 1, dev: 3, status: Off
Tue Jul 14 10:06:49 2020, board: 1, dev: 2, status: Off
Tue Jul 14 10:06:50 2020, board: 1, dev: 3, status: On
Tue Jul 14 10:06:50 2020, board: 1, dev: 2, status: On
Tue Jul 14 10:06:51 2020, board: 1, dev: 1, status: On
Tue Jul 14 10:06:51 2020, board: 1, dev: 1, status: Off
Tue Jul 14 10:06:52 2020, board: 1, dev: 2, status: Off
Tue Jul 14 10:06:53 2020, board: 1, dev: 3, status: Off
Tue Jul 14 10:06:54 2020, board: 1, dev: 4, status: On
Tue Jul 14 10:06:54 2020, board: 1, dev: 3, status: On
Tue Jul 14 10:06:55 2020, board: 1, dev: 2, status: On
Tue Jul 14 10:06:55 2020, board: 1, dev: 1, status: On
Tue Jul 14 10:06:56 2020, board: 1, dev: 1, status: Off
Tue Jul 14 10:06:56 2020, board: 1, dev: 2, status: Off
Tue Jul 14 10:06:57 2020, board: 1, dev: 3, status: Off
Tue Jul 14 10:06:57 2020, board: 1, dev: 4, status: Off
Tue Jul 14 10:06:58 2020, board: 1, dev: 2, status: On
Tue Jul 14 10:06:59 2020, board: 1, dev: 1, status: On
Tue Jul 14 10:06:59 2020, board: 1, dev: 3, status: On
Tue Jul 14 10:07:00 2020, board: 1, dev: 3, status: Off
Tue Jul 14 10:07:01 2020, board: 1, dev: 1, status: Off
Tue Jul 14 10:07:01 2020, board: 1, dev: 3, status: On
Tue Jul 14 10:07:02 2020, board: 1, dev: 1, status: On
Tue Jul 14 10:07:03 2020, board: 1, dev: 1, status: Off
Tue Jul 14 10:07:04 2020, board: 1, dev: 4, status: On
Tue Jul 14 10:07:05 2020, board: 1, dev: 1, status: On
Tue Jul 14 10:07:05 2020, board: 1, dev: 1, status: Off
Tue Jul 14 10:07:05 2020, board: 1, dev: 1, status: On
Tue Jul 14 10:07:06 2020, board: 1, dev: 1, status: Off
Tue Jul 14 10:07:06 2020, board: 1, dev: 2, status: Off
Tue Jul 14 10:07:07 2020, board: 1, dev: 3, status: Off
Tue Jul 14 10:07:07 2020, board: 1, dev: 4, status: Off
Tue Jul 14 10:07:08 2020, board: 1, dev: 4, status: On
Tue Jul 14 10:07:09 2020, board: 1, dev: 4, status: Off
Tue Jul 14 10:07:55 2020, board: 1, dev: 2, status: On
Tue Jul 14 10:07:56 2020, board: 1, dev: 2, status: Off
Tue Jul 14 10:07:59 2020, board: 1, dev: 1, status: On
Tue Jul 14 10:08:00 2020, board: 1, dev: 1, status: Off
Tue Jul 14 10:08:00 2020, board: 1, dev: 1, status: On
Tue Jul 14 10:08:01 2020, board: 1, dev: 1, status: Off
Tue Jul 14 10:08:02 2020, board: 1, dev: 1, status: On
Tue Jul 14 10:08:03 2020, board: 1, dev: 1, status: Off
Tue Jul 14 10:08:04 2020, board: 1, dev: 1, status: On
Tue Jul 14 10:08:05 2020, board: 1, dev: 1, status: Off
Tue Jul 14 10:08:06 2020, board: 1, dev: 2, status: On
Tue Jul 14 10:08:06 2020, board: 1, dev: 2, status: Off
Tue Jul 14 10:08:12 2020, board: 1, dev: 1, status: On
Tue Jul 14 10:08:12 2020, board: 1, dev: 1, status: Off
Tue Jul 14 10:08:14 2020, board: 1, dev: 2, status: On
Tue Jul 14 10:08:14 2020, board: 1, dev: 2, status: Off
Tue Jul 14 10:08:15 2020, board: 1, dev: 1, status: On
Tue Jul 14 10:08:16 2020, board: 1, dev: 1, status: Off
Tue Jul 14 10:08:49 2020, board: 1, dev: 1, status: On
Tue Jul 14 10:08:50 2020, board: 1, dev: 1, status: Off
Tue Jul 14 10:08:50 2020, board: 1, dev: 1, status: On
Tue Jul 14 10:08:50 2020, board: 1, dev: 1, status: Off
Tue Jul 14 10:08:51 2020, board: 1, dev: 1, status: On
Tue Jul 14 10:08:52 2020, board: 1, dev: 1, status: Off
Tue Jul 14 10:08:53 2020, board: 1, dev: 1, status: On
Tue Jul 14 10:08:54 2020, board: 1, dev: 1, status: Off
Tue Jul 14 10:08:54 2020, board: 1, dev: 1, status: On
Tue Jul 14 10:08:56 2020, board: 1, dev: 1, status: Off
Tue Jul 14 10:08:58 2020, board: 1, dev: 1, status: On
Tue Jul 14 10:08:58 2020, board: 1, dev: 1, status: Off
Tue Jul 14 10:08:59 2020, board: 1, dev: 1, status: On
